,ctoi_alias,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,ra,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim
5,112395568.01,8.8849,0.006,-0.006,1.0,0.0,290.977117,-18.692,0.065,-0.065,1.0,0.0,-8.192,0.059,-0.059,1.0,0.0,2458657.999179,0.001553,-0.001553,1.0,0.0,2.860293,0.230499,-0.230499,1.0,0.0,1105.760867,87.92673,-87.92673,1.0,0.0,13.088532,3.636668,-3.636668,1.0,0.0,263.729,2.8735,-2.8735,1.0,0.0,5664.0,188.0,-188.0,1.0,0.0,3.26574,0.355261,-0.355261,1.0,0.0,3.86959,0.644568,-0.644568,1.0,0.0
14,253990973.01,9.7345,0.006,-0.006,1.0,0.0,284.688908,24.978,0.089,-0.089,1.0,0.0,-71.79,0.091,-0.091,1.0,0.0,2458654.253249,0.003078,-0.003078,1.0,0.0,1.674337,0.329757,-0.329757,1.0,0.0,257.347459,27.641214,-27.641214,1.0,0.0,2.28501,0.57323,-0.57323,1.0,0.0,133.171,0.6935,-0.6935,1.0,0.0,5525.0,186.0,-186.0,1.0,0.0,4.25342,0.29667,-0.29667,1.0,0.0,1.21935,0.16458,-0.16458,1.0,0.0
25,31858844.01,15.7114,0.023,-0.023,1.0,0.0,289.478541,-1.949,0.054,-0.054,1.0,0.0,-2.482,0.053,-0.053,1.0,0.0,2458655.579241,0.000532,-0.000532,1.0,0.0,3.25697,0.030226,-0.030226,1.0,0.0,43218.111683,416.72778,-416.72778,1.0,0.0,26.88423,0.196978,-0.196978,1.0,0.0,375.012,4.92,-4.92,1.0,0.0,5740.0,134.35000000000002,-134.35000000000002,1.0,0.0,4.29219,0.09,-0.09,1.0,0.0,1.28,0.07,-0.07,1.0,0.0
27,140830390.01,11.7106,0.006,-0.006,1.0,0.0,75.627307,1.679,0.043,-0.043,1.0,0.0,32.797,0.04,-0.04,1.0,0.0,2459211.732146,0.002195,-0.002195,1.0,0.0,9.8464123,0.1878411,-0.1878411,1.0,0.0,10539.0192794,361.00934,-361.00934,1.0,0.0,25.4886382,1.376776,-1.376776,1.0,0.0,703.878,10.696,-10.696,1.0,0.0,5765.0,189.0,-189.0,1.0,0.0,4.34773,2.00358,-2.00358,1.0,0.0,2.4494,0.11699,-0.11699,1.0,0.0
34,50365310.01,9.604,0.013,-0.013,1.0,0.0,112.357708,-5.964,0.085,-0.085,1.0,0.0,-0.076,0.072,-0.072,1.0,0.0,2459229.630046,0.001657,-0.001657,1.0,0.0,2.0172196,0.3195879,-0.3195879,1.0,0.0,656.8860989,37.77821,-37.77821,1.0,0.0,5.8181633,1.9105465,-1.9105465,1.0,0.0,485.735,11.9515,-11.9515,1.0,0.0,10249.0,264.7,-264.7,1.0,0.0,4.19,0.07,-0.07,1.0,0.0,2.16986,0.0725729,-0.0725729,1.0,0.0
36,124709665.01,9.299501,0.058,-0.058,1.0,0.0,104.726966,-1.462,0.206,-0.206,1.0,0.0,-2.249,0.206,-0.206,1.0,0.0,2459224.687802,0.000625,-0.000625,1.0,0.0,1.408,0.184,-0.184,1.0,0.0,1500.0,1.7584,-1.7584,1.0,0.0,23.7529,0.820598,-0.820598,1.0,0.0,943.109,106.333,-106.333,1.0,0.0,8924.0,124.0,-124.0,1.0,0.0,4.22041,0.09,-0.09,1.0,0.0,5.73,0.07,-0.07,1.0,0.0
37,106997505.01,9.3003,0.037,-0.037,1.0,0.0,110.559945,-0.939,0.041,-0.041,1.0,0.0,1.64,0.055,-0.055,1.0,0.0,2458493.3957,0.00535,-0.00535,1.0,0.0,3.167,0.642,-0.642,1.0,0.0,383.41,0.781988,-0.781988,1.0,0.0,9.8672,0.820598,-0.820598,1.0,0.0,7728.17,1899.57,-1899.57,1.0,0.0,5388.5,567.0,-567.0,1.0,0.0,4.15,1.64,-1.64,1.0,0.0,1.52,0.07,-0.07,1.0,0.0
38,238597883.01,9.1355,0.006,-0.006,1.0,0.0,122.178195,-4.496,0.069,-0.069,1.0,0.0,9.347,0.062,-0.062,1.0,0.0,2459987.047262,0.003748,-0.003748,1.0,0.0,3.37,1.029,-1.029,1.0,0.0,755.0,1306.55,-1306.55,1.0,0.0,11.3113,3.24714,-3.24714,1.0,0.0,356.437,4.6175,-4.6175,1.0,0.0,9219.0,171.1,-171.1,1.0,0.0,4.14,0.07,-0.07,1.0,0.0,2.15,0.06,-0.06,1.0,0.0
39,169904935.01,9.1309,0.006,-0.006,1.0,0.0,120.704811,-26.932,1.935,-1.935,1.0,0.0,-2.901,2.06,-2.06,1.0,0.0,2459985.156855,0.000581,-0.000581,1.0,0.0,2.654,0.339,-0.339,1.0,0.0,3731.0,123.723,-123.723,1.0,0.0,7.10841,0.474611,-0.474611,1.0,0.0,100.711,14.121,-14.121,1.0,0.0,5613.0,179.9,-179.9,1.0,0.0,4.22041,0.09,-0.09,1.0,0.0,1.09,0.07,-0.07,1.0,0.0
40,156115721.01,9.2386,0.006,-0.006,1.0,0.0,124.359239,-29.1,2.6,-2.6,1.0,0.0,-6.8,2.2,-2.2,1.0,0.0,2459229.984579,0.002159,-0.002159,1.0,0.0,4.3797563,0.1036554,-0.1036554,1.0,0.0,2270.5402194,81.38088,-81.38088,1.0,0.0,8.6950898,8.438766,-8.438766,1.0,0.0,375.012,4.92,-4.92,1.0,0.0,6616.0,200.0,-200.0,1.0,0.0,4.22041,0.09,-0.09,1.0,0.0,1.53429,1.4887,-1.4887,1.0,0.0
