,tfopwg_disp
5,false_positive
14,false_positive
25,false_positive
27,false_positive
34,false_positive
36,false_positive
37,false_positive
38,false_positive
39,false_positive
40,false_positive
42,false_positive
45,false_positive
48,false_positive
49,false_positive
50,false_positive
51,false_positive
52,false_positive
53,false_positive
56,false_positive
57,false_positive
59,false_positive
60,false_positive
62,false_positive
66,false_positive
67,false_positive
69,false_positive
70,false_positive
72,false_positive
73,false_positive
76,false_positive
77,false_positive
80,false_positive
81,false_positive
83,false_positive
85,false_positive
86,false_positive
87,false_positive
88,false_positive
89,false_positive
90,false_positive
91,false_positive
92,false_positive
97,false_positive
98,false_positive
99,false_positive
106,false_positive
116,false_positive
118,false_positive
120,false_positive
122,false_positive
123,false_positive
126,false_positive
132,false_positive
133,false_positive
134,false_positive
136,false_positive
140,false_positive
141,false_positive
143,false_positive
144,false_positive
145,false_positive
146,false_positive
151,false_positive
154,false_positive
155,false_positive
156,false_positive
162,false_positive
164,false_positive
166,false_positive
172,false_positive
174,false_positive
180,false_positive
181,false_positive
182,false_positive
183,false_positive
185,false_positive
186,false_positive
187,false_positive
196,false_positive
197,false_positive
198,false_positive
199,false_positive
200,false_positive
202,false_positive
206,false_positive
208,false_positive
209,false_positive
210,false_positive
213,false_positive
214,false_positive
215,false_positive
218,false_positive
220,false_positive
221,false_positive
226,false_positive
227,false_positive
229,false_positive
230,false_positive
232,false_positive
241,false_positive
251,false_positive
258,false_positive
261,false_positive
272,false_positive
291,false_positive
292,false_positive
296,false_positive
319,false_positive
322,false_positive
342,false_positive
351,false_positive
352,false_positive
353,false_positive
354,false_positive
355,false_positive
361,false_positive
367,false_positive
368,false_positive
373,false_positive
375,false_positive
381,false_positive
382,false_positive
383,false_positive
384,false_positive
386,false_positive
387,false_positive
389,false_positive
391,false_positive
392,false_positive
393,false_positive
394,false_positive
395,false_positive
396,false_positive
398,false_positive
401,false_positive
403,false_positive
404,false_positive
405,false_positive
406,false_positive
408,false_positive
409,false_positive
411,false_positive
412,false_positive
413,false_positive
415,false_positive
416,false_positive
417,false_positive
425,false_positive
440,false_positive
443,false_positive
444,false_positive
445,false_positive
447,false_positive
450,false_positive
452,false_positive
453,false_positive
454,false_positive
455,false_positive
456,false_positive
458,false_positive
460,false_positive
462,false_positive
463,false_positive
464,false_positive
465,false_positive
466,false_positive
469,false_positive
472,false_positive
473,false_positive
474,false_positive
476,false_positive
480,false_positive
481,false_positive
482,false_positive
483,false_positive
484,false_positive
485,false_positive
486,false_positive
487,false_positive
489,false_positive
491,false_positive
492,false_positive
493,false_positive
494,false_positive
518,false_positive
521,false_positive
522,false_positive
523,false_positive
524,false_positive
546,false_positive
547,false_positive
548,false_positive
549,false_positive
550,false_positive
551,false_positive
552,false_positive
553,false_positive
554,false_positive
555,false_positive
556,false_positive
557,false_positive
558,false_positive
560,false_positive
562,false_positive
563,false_positive
564,false_positive
566,false_positive
567,false_positive
579,false_positive
585,false_positive
590,false_positive
592,false_positive
593,false_positive
595,false_positive
596,false_positive
598,false_positive
605,false_positive
608,false_positive
609,false_positive
610,false_positive
611,false_positive
612,false_positive
614,false_positive
615,false_positive
616,false_positive
617,false_positive
618,false_positive
620,false_positive
621,false_positive
622,false_positive
623,false_positive
624,false_positive
625,false_positive
626,false_positive
628,false_positive
629,false_positive
630,false_positive
631,false_positive
632,false_positive
634,false_positive
636,false_positive
637,false_positive
638,false_positive
639,false_positive
640,false_positive
641,false_positive
642,false_positive
645,false_positive
647,false_positive
652,false_positive
653,false_positive
654,false_positive
657,false_positive
658,false_positive
659,false_positive
660,false_positive
662,false_positive
664,false_positive
666,false_positive
668,false_positive
670,false_positive
672,false_positive
675,false_positive
676,false_positive
677,false_positive
678,false_positive
680,false_positive
682,false_positive
683,false_positive
687,false_positive
688,false_positive
689,false_positive
690,false_positive
692,false_positive
693,false_positive
695,false_positive
696,false_positive
701,false_positive
702,false_positive
704,false_positive
706,false_positive
707,false_positive
708,false_positive
710,false_positive
712,false_positive
713,false_positive
714,false_positive
715,false_positive
716,false_positive
717,false_positive
718,false_positive
719,false_positive
722,false_positive
723,false_positive
727,false_positive
730,false_positive
731,false_positive
737,false_positive
738,false_positive
739,false_positive
741,false_positive
742,false_positive
743,false_positive
747,false_positive
748,false_positive
749,false_positive
750,false_positive
758,false_positive
761,false_positive
762,false_positive
763,false_positive
768,false_positive
784,false_positive
785,false_positive
789,false_positive
790,false_positive
791,false_positive
792,false_positive
794,false_positive
795,false_positive
796,false_positive
797,false_positive
804,false_positive
805,false_positive
806,false_positive
810,false_positive
811,false_positive
837,false_positive
839,false_positive
841,false_positive
842,false_positive
845,false_positive
849,false_positive
851,false_positive
852,false_positive
855,false_positive
865,false_positive
871,false_positive
879,false_positive
889,false_positive
891,false_positive
899,false_positive
919,false_positive
920,false_positive
931,false_positive
952,false_positive
956,false_positive
960,false_positive
966,false_positive
984,false_positive
992,false_positive
994,false_positive
1010,false_positive
1011,false_positive
1022,false_positive
1027,false_positive
1028,false_positive
1049,false_positive
1053,false_positive
1054,false_positive
1056,false_positive
1060,false_positive
1061,false_positive
1063,false_positive
1067,false_positive
1080,false_positive
1089,false_positive
1093,false_positive
1094,false_positive
1096,false_positive
1101,false_positive
1115,false_positive
1118,false_positive
1123,false_positive
1127,false_positive
1129,false_positive
1130,false_positive
1131,false_positive
1133,false_positive
1136,false_positive
1137,false_positive
1152,false_positive
1169,false_positive
1174,false_positive
1178,false_positive
1184,false_positive
1192,false_positive
1193,false_positive
1195,false_positive
1196,false_positive
1197,false_positive
1198,false_positive
1201,false_positive
1203,false_positive
1209,false_positive
1210,false_positive
1221,false_positive
1227,false_positive
1233,false_positive
1238,false_positive
1239,false_positive
1262,false_positive
1266,false_positive
1283,false_positive
1286,false_positive
1293,false_positive
1295,false_positive
1310,false_positive
1311,false_positive
1317,false_positive
1323,false_positive
1327,false_positive
1334,false_positive
1340,false_positive
1345,false_positive
1346,false_positive
1347,false_positive
1350,false_positive
1356,false_positive
1359,false_positive
1361,false_positive
1373,false_positive
1379,false_positive
1382,false_positive
1388,false_positive
1389,false_positive
1390,false_positive
1402,false_positive
1408,false_positive
1417,false_positive
1418,false_positive
1420,false_positive
1424,false_positive
1426,false_positive
1446,false_positive
1465,false_positive
1468,false_positive
1472,false_positive
1475,false_positive
1481,false_positive
1482,false_positive
1483,false_positive
1487,false_positive
1488,false_positive
1490,false_positive
1491,false_positive
1520,false_positive
1521,false_positive
1528,false_positive
1532,false_positive
1533,false_positive
1544,false_positive
1546,false_positive
1550,false_positive
1554,false_positive
1566,false_positive
1580,false_positive
1599,false_positive
1603,false_positive
1609,false_positive
1614,false_positive
1628,false_positive
1642,false_positive
1663,false_positive
1671,false_positive
1680,false_positive
1696,false_positive
1698,false_positive
1707,false_positive
1708,false_positive
1713,false_positive
1722,false_positive
1726,false_positive
1727,false_positive
1734,false_positive
1739,false_positive
1747,false_positive
1762,false_positive
1766,false_positive
1796,false_positive
1803,false_positive
1810,false_positive
1819,false_positive
1822,false_positive
1824,false_positive
1825,false_positive
1826,false_positive
1827,false_positive
1836,false_positive
1837,false_positive
1838,false_positive
1856,false_positive
1862,false_positive
1873,false_positive
1874,false_positive
1904,false_positive
1908,false_positive
1910,false_positive
1911,false_positive
1916,false_positive
1920,false_positive
1927,false_positive
1949,false_positive
1958,false_positive
1968,false_positive
1970,false_positive
1977,false_positive
1994,false_positive
2024,false_positive
2025,false_positive
2026,false_positive
2028,false_positive
2031,false_positive
2032,false_positive
2038,false_positive
2039,false_positive
2041,false_positive
2060,false_positive
2070,false_positive
2079,false_positive
2080,false_positive
2082,false_positive
2083,false_positive
2084,false_positive
2085,false_positive
2086,false_positive
2089,false_positive
2091,false_positive
2092,false_positive
2094,false_positive
2096,false_positive
2097,false_positive
2099,false_positive
2103,false_positive
2145,false_positive
2148,false_positive
2154,false_positive
2174,false_positive
2186,false_positive
2193,false_positive
2194,false_positive
2195,false_positive
2200,false_positive
2207,false_positive
2211,false_positive
2221,false_positive
2236,false_positive
2239,false_positive
2248,false_positive
2253,false_positive
2260,false_positive
2261,false_positive
2268,false_positive
2277,false_positive
2283,false_positive
2291,false_positive
2297,false_positive
2308,false_positive
2321,false_positive
2322,false_positive
2350,false_positive
2353,false_positive
2354,false_positive
2364,false_positive
2374,false_positive
2375,false_positive
2380,false_positive
2384,false_positive
